Home > Text Tools >Compleat Lister Input > Output
--------------------------------------------------------------------------------

C:\Documents and Settings\Sapi\Desktop\padovan2.TXT
53535 bytes
tera _20
teren _1
teribile _1
termine _1
testa _11
testina _1
tete _1
ti _10
tienle _1
tira _2
tirà _1
tirare _2
tirarlo _1
tirchio _1
to _4
toca _2
tocà _1
tocando _1
tocheti _4
tocheto _2
tochi _1
tola _1
tolendo _1
tolto _2
tonba _2
toni _7
tore _1
torle _1
torna _3
tornà _3
tornarà _1
tornare _5
tornava _1
tornemo _1
torni _1
torno _7
tosati _1
tosatoto _1
toseta _1
toseti _4
toseto _4
toso _1
tra _14
trabalante _1
trafileto _1
tragedia _2
tragedie _1
tranquilamente _1
trascurà _1
trasformando _1
trasformare _1
trasformava _1
trasmessa _1
trasmission _1
trave _1
traversa _1
traversare _1
traverso _5
traverson _2
tre _6
trema _1
tremava _1
triste _2
tristessa _4
tristesse _1
troso _1
trovà _2
trovare _2
trovo _1
tua _1
tuta _15
tute _7
tuti _32
tuto _30
ùltima _2
uman _1
umani _2
umanità _2
umanitaria _1
umano _1
umilià _2
umiliarse _1
umiliassion _4
un _192
una _3
ùndese _1
unico _2
unìi _1
unite _1
uno _9
un'òstrega _1
usare _1
va _6
vaca _1
vacade _1
vache _3
vagabondo _1
vago _1
valizete _1
valutemo _1
vanti _4
varda _6
vardà _2
vardai _1
vardando _7
vardare _6
vardarla _1
vardarse _1
vardava _2
vardavimo _1
vardavo _1
vardemo _1
vardemolo _1
vardo _2
variassion _1
vece _6
vechiaia _1
veci _6
vecia _3
vecie _1
vecio _11
vecioto _2
vedaré _1
védare _6
vèdare _2
védarla _1
védarli _1
védarlo _4
vedeva _1
vedevi _1
vedi _2
vedo _3
vedono _1
vegna _2
vegnarà _1
vegnarìa _1
vegnere _3
vegneva _6
vegnù _4
vegnùo _1
veleni _1
véndare _1
vèndare _1
véndarli _1
vèndarme _1
vendeta _1
veneto _1
venti _1
ventiquatrore _1
vento _4
vera _3
veramente _4
verde _2
verdi _2
vere _1
vergogna _2
vergognà _1
vergognarse _1
vergognosa _2
vergognoso _1
veri _2
verità _1
verme _1
vero _4
version _1
verso _2
verta _2
verte _2
verti _3
verto _1
vèrzarme _1
verze _2
verzeva _1
verzévimo _1
vestìo _1
vestire _1
vestitin _1
via _25
viajo _3
vicinato _1
vien _9
violensa _1
visi _1
vissin _5
vissina _1
vissini _2
vissùo _1
vista _1
visto _9
vita _41
vìvare _7
vive _4
vivo _2
vodi _1
vóe _7
voja _8
vojo _6
vol _3
volatile _1
volemo _1
voleva _1
volta _15
volte _16
vorìa _2
vosse _2
vossù _2
vuto _1
za _8
zali _1
zalo _1
zanoci _1
ze _117
zela _2
zente _14
zio _1
zo _1
zó _7
zovane _1
zóvane _1
zòvane _1
zòvani _2
zugare _2
zughi _2

 


Processing time: 0.14 CPU seconds. 
