Home > Text Tools >Compleat Lister Input > Output
--------------------------------------------------------------------------------

C:\Documents and Settings\Sapi\Desktop\veneto_wiki.TXT
42383 bytes
verdéa _1
verdi _1
vero _1
verona _3
veronexe _2
veronéxe _7
'vérsela _1
versi _1
version _2
verso _2
verta _4
verto _1
vèrzar _1
verzi _1
vetrina _2
vette _1
via _7
viaià _1
vicenzsa _2
vien _18
viento _1
vientu _1
vigne _1
vilani _1
vin _1
vinti _1
virgilio _1
virtua£i _1
vista _1
visto _1
vitor _1
viva _1
viventi _1
vixentin _7
vixentìn _1
vixita _3
vo£éa _1
vo£endo _1
vo£i _1
voca£e _8
voca£i _15
vocà£ico _2
vocabulario _1
vocal _6
voçi _1
vol _1
volgar _3
volgare _2
volta _3
vorìa _2
vostro _1
votà _1
votar _1
votazsion _1
voto _1
votu _1
voxe _2
vóxe _3
vú _1
vù _3
vuto _1
vutu _1
web _1
wiki _2
wikibooks _1
wikilove _1
wikimedia _2
wikinotizie _1
wikipedia _24
wikipediani _1
wikipedie _1
wikiquote _1
wikisource _1
wikispecies _1
wikiversità _1
wikizionario _1
windows _1
x _2
xà _1
xe _97
xè _1
xe£a _2
xe£e _2
xe£i _2
xe£o _4
xenera£e _5
xenera£i _4
xera _5
xeri _2
xii _1
xiii _2
xix _1
xona _2
xone _1
xonta _3
xontà _1
xontè _1
xvi _1
xvi£upà _3
xvi£upo _1
xviii _1
yupik _2
z _10
zà _2
zamboni _1
zata _1
zenocio _1
zente _2
zentrale _1
zeola _1
zeper _1
zera _1
zeta _4
zhinque _1
zinque _1
zità _1
zó _1
zona _1
zone _1
zs _1
zsavata _3
zsentra£e _4
zsentral _1
zsentro _1
zserta _1
zserte _1
zsinque _3
zsirca _1
zsità _2
zugàtolo _1
zughi _1
zulian _1
zuste _1
zxona _1
zz _1
zzx _1

 


Processing time: 0.13 CPU seconds. 
